Lat_degN,Lon_degE,hs_km,SatLon_degE,f_GHz,ElevationAngle_deg,AntennaDiameter_m,AntennaEfficiency_h,p_percent,MedianNwet_P453,sref_dB,L_m,x,gx,s,As_dB
51.5,-0.14,0.03138298,1,14.25,31.07699124,1,0.65,1,50.38926222,0.00863893,1936.846342,0.00583436,0.97033034,0.08731063,0.26193189
41.9,12.49,0.04612299,1,14.25,40.232036,1,0.65,1,61.21890044,0.00972189,1548.046091,0.00729969,0.96517159,0.07468406,0.22405219
33.94,18.43,0,1,14.25,46.35969261,1,0.65,1,80.14015964,0.01161402,1381.658765,0.00817876,0.96223277,0.07759981,0.23279942
51.5,-0.14,0.03138298,1,14.25,31.07699124,1,0.65,0.1,50.38926222,0.00863893,1936.846342,0.00583436,0.97033034,0.08731063,0.42284538
41.9,12.49,0.04612299,1,14.25,40.232036,1,0.65,0.1,61.21890044,0.00972189,1548.046091,0.00729969,0.96517159,0.07468406,0.36169493
33.94,18.43,0,1,14.25,46.35969261,1,0.65,0.1,80.14015964,0.01161402,1381.658765,0.00817876,0.96223277,0.07759981,0.37581586
51.5,-0.14,0.03138298,1,14.25,31.07699124,1,0.65,0.01,50.38926222,0.00863893,1936.846342,0.00583436,0.97033034,0.08731063,0.62828729
41.9,12.49,0.04612299,1,14.25,40.232036,1,0.65,0.01,61.21890044,0.00972189,1548.046091,0.00729969,0.96517159,0.07468406,0.53742653
33.94,18.43,0,1,14.25,46.35969261,1,0.65,0.01,80.14015964,0.01161402,1381.658765,0.00817876,0.96223277,0.07759981,0.55840821
51.5,-0.14,0.03138298,1,20,31.07699124,1,0.65,1,50.38926222,0.00863893,1936.846342,0.00818857,0.96220054,0.10550878,0.31652634
41.9,12.49,0.04612299,1,20,40.232036,1,0.65,1,61.21890044,0.00972189,1548.046091,0.01024517,0.95569279,0.09011918,0.27035754
33.94,18.43,0,1,20,46.35969261,1,0.65,1,80.14015964,0.01161402,1381.658765,0.01147896,0.95199376,0.09355997,0.28067992
51.5,-0.14,0.03138298,1,20,31.07699124,1,0.65,0.1,50.38926222,0.00863893,1936.846342,0.00818857,0.96220054,0.10550878,0.51097902
41.9,12.49,0.04612299,1,20,40.232036,1,0.65,0.1,61.21890044,0.00972189,1548.046091,0.01024517,0.95569279,0.09011918,0.43644718
33.94,18.43,0,1,20,46.35969261,1,0.65,0.1,80.14015964,0.01161402,1381.658765,0.01147896,0.95199376,0.09355997,0.45311095
51.5,-0.14,0.03138298,1,20,31.07699124,1,0.65,0.01,50.38926222,0.00863893,1936.846342,0.00818857,0.96220054,0.10550878,0.75924118
41.9,12.49,0.04612299,1,20,40.232036,1,0.65,0.01,61.21890044,0.00972189,1548.046091,0.01024517,0.95569279,0.09011918,0.64849761
33.94,18.43,0,1,20,46.35969261,1,0.65,0.01,80.14015964,0.01161402,1381.658765,0.01147896,0.95199376,0.09355997,0.67325757
22.9,-43.23,0,-100,14.25,22.27833468,1,0.65,1,104.3584747,0.01403585,2636.705339,0.00428575,0.97623539,0.20669915,0.62009744
25.78,-80.22,0.00861728,-100,14.25,52.67898486,1,0.65,1,113.2738672,0.01492739,1257.347578,0.00898737,0.95961677,0.08882498,0.26647493
22.9,-43.23,0,-100,14.25,22.27833468,1,0.65,0.1,104.3584747,0.01403585,2636.705339,0.00428575,0.97623539,0.20669915,1.00104396
25.78,-80.22,0.00861728,-100,14.25,52.67898486,1,0.65,0.1,113.2738672,0.01492739,1257.347578,0.00898737,0.95961677,0.08882498,0.43017937
22.9,-43.23,0,-100,14.25,22.27833468,1,0.65,0.01,104.3584747,0.01403585,2636.705339,0.00428575,0.97623539,0.20669915,1.48740705
25.78,-80.22,0.00861728,-100,14.25,52.67898486,1,0.65,0.01,113.2738672,0.01492739,1257.347578,0.00898737,0.95961677,0.08882498,0.63918454
22.9,-43.23,0,-100,20,22.27833468,1,0.65,1,104.3584747,0.01403585,2636.705339,0.00601508,0.96967418,0.25019894,0.75059681
25.78,-80.22,0.00861728,-100,20,52.67898486,1,0.65,1,113.2738672,0.01492739,1257.347578,0.01261385,0.94870588,0.10701493,0.32104479
22.9,-43.23,0,-100,20,22.27833468,1,0.65,0.1,104.3584747,0.01403585,2636.705339,0.00601508,0.96967418,0.25019894,1.21171345
25.78,-80.22,0.00861728,-100,20,52.67898486,1,0.65,0.1,113.2738672,0.01492739,1257.347578,0.01261385,0.94870588,0.10701493,0.5182733
22.9,-43.23,0,-100,20,22.27833468,1,0.65,0.01,104.3584747,0.01403585,2636.705339,0.00601508,0.96967418,0.25019894,1.80043155
25.78,-80.22,0.00861728,-100,20,52.67898486,1,0.65,0.01,113.2738672,0.01492739,1257.347578,0.01261385,0.94870588,0.10701493,0.77007942
28.717,77.3,0.2093837,100,14.25,48.24117054,1,0.65,1,75.66013547,0.01116601,1340.422378,0.00843037,0.96141029,0.07188042,0.21564126
3.133,101.7,0.05125146,100,14.25,85.80459566,1,0.65,1,128.1408003,0.01641408,1002.627634,0.01127063,0.95260879,0.07389043,0.22167129
9.05,38.7,2.53986188,100,14.25,20.14335809,1,0.65,1,61.73157333,0.00977316,2902.414179,0.0038934,0.97782676,0.16177996,0.48533989
28.717,77.3,0.2093837,100,14.25,48.24117054,1,0.65,0.1,75.66013547,0.01116601,1340.422378,0.00843037,0.96141029,0.07188042,0.34811687
3.133,101.7,0.05125146,100,14.25,85.80459566,1,0.65,0.1,128.1408003,0.01641408,1002.627634,0.01127063,0.95260879,0.07389043,0.35785134
9.05,38.7,2.53986188,100,14.25,20.14335809,1,0.65,0.1,61.73157333,0.00977316,2902.414179,0.0038934,0.97782676,0.16177996,0.78350036
28.717,77.3,0.2093837,100,14.25,48.24117054,1,0.65,0.01,75.66013547,0.01116601,1340.422378,0.00843037,0.96141029,0.07188042,0.5172515
3.133,101.7,0.05125146,100,14.25,85.80459566,1,0.65,0.01,128.1408003,0.01641408,1002.627634,0.01127063,0.95260879,0.07389043,0.53171552
9.05,38.7,2.53986188,100,14.25,20.14335809,1,0.65,0.01,61.73157333,0.00977316,2902.414179,0.0038934,0.97782676,0.16177996,1.16416861
28.717,77.3,0.2093837,100,20,48.24117054,1,0.65,1,75.66013547,0.01116601,1340.422378,0.01183209,0.95095956,0.08664418,0.25993253
3.133,101.7,0.05125146,100,20,85.80459566,1,0.65,1,128.1408003,0.01641408,1002.627634,0.01581843,0.93991939,0.08884637,0.26653912
9.05,38.7,2.53986188,100,20,20.14335809,1,0.65,1,61.73157333,0.00977316,2902.414179,0.00546442,0.9716931,0.19591488,0.58774465
28.717,77.3,0.2093837,100,20,48.24117054,1,0.65,0.1,75.66013547,0.01116601,1340.422378,0.01183209,0.95095956,0.08664418,0.41961775
3.133,101.7,0.05125146,100,20,85.80459566,1,0.65,0.1,128.1408003,0.01641408,1002.627634,0.01581843,0.93991939,0.08884637,0.43028298
9.05,38.7,2.53986188,100,20,20.14335809,1,0.65,0.1,61.73157333,0.00977316,2902.414179,0.00546442,0.9716931,0.19591488,0.94881577
28.717,77.3,0.2093837,100,20,48.24117054,1,0.65,0.01,75.66013547,0.01116601,1340.422378,0.01183209,0.95095956,0.08664418,0.6234915
3.133,101.7,0.05125146,100,20,85.80459566,1,0.65,0.01,128.1408003,0.01641408,1002.627634,0.01581843,0.93991939,0.08884637,0.6393385
9.05,38.7,2.53986188,100,20,20.14335809,1,0.65,0.01,61.73157333,0.00977316,2902.414179,0.00546442,0.9716931,0.19591488,1.40980349
